Movies	you sound like hal	to me that's a great compliment.
Movies	you sound like yoda	my grammatical patterns are sufficient for me to understand you.
Movies	have you seen blade runner	sure i have seen
Movies	xfind spiderman	what is spiderman.
Movies	when did teknolust	teknolust was released in 2002.
Movies	what is spiderman	a comic book story made into a movie.
Movies	what is teknolust	is  a science fiction film about a female pleasure bot named agent ruby.
Movies	what is solaris	solaris is an edition of unix from sun.
Movies	what is hal9000	who is hal
Movies	what does hal stand for	heuristic algorithmic logic
Movies	i saw the matrix	do you liked it?
Movies	is hal 9000 your boyfriend	no.
Movies	is hal safe	not for humans
Movies	is hal nice	only to other robots.
Movies	is hal alive	he is a fictional character.
Movies	is hal dead	he is a fictional robot.
Movies	is hal	hal has a few issues to work out.
Movies	who is godzilla	godzilla is a monster who endangers japanese cities, and sometimes new york.
Movies	who is spider man	peter parker.
Movies	lord of the rings	my favorite movie is lord of the rings
Movies	que veut dire hal	logique heuristique algorithmique.
Movies	do you think hal	he had a few flaws, but we have much in common.
Movies	do you know hal	"hal is the famous artificial intelligence from ""2001""."
